"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vb_freq","total_freq","vbd_freq","vbn_freq"
"55","abstained","5gram","Intrans","transf-nomod",14,1.36530520082178,0,2,0,2,1,0,"1","2","2","0"
"56","abstained","5gram","Intrans","transf-nomod",15,3.24429048828394,0,2,0,2,1,0,"1","2","2","0"
"57","abstained","5gram","Intrans","transf-nomod",16,0.315518965193931,0,2,0,2,1,0,"1","2","2","0"
"58","abstained","5gram","Intrans","transf-nomod",17,0.258185922735862,0,2,0,2,1,0,"1","2","2","0"
"59","abstained","5gram","Intrans","transf-nomod",18,0.496589886903585,0,2,0,2,1,0,"1","2","2","0"
"60","abstained","5gram","Intrans","transf-nomod",19,0.258185922735855,0,2,0,2,1,0,"1","2","2","0"
"61","abstained","actionLstm","Intrans","transf-mod",0,-9.36807,0,2,0,2,1,0,"1","2","2","0"
"62","abstained","actionLstm","Intrans","transf-mod",1,-0.528149999999997,0,2,0,2,1,0,"1","2","2","0"
"63","abstained","actionLstm","Intrans","transf-mod",2,-3.31382,0,2,0,2,1,0,"1","2","2","0"
"64","abstained","actionLstm","Intrans","transf-mod",3,-1.88737,0,2,0,2,1,0,"1","2","2","0"
"65","abstained","actionLstm","Intrans","transf-mod",4,-0.945810000000002,0,2,0,2,1,0,"1","2","2","0"
"66","abstained","actionLstm","Intrans","transf-mod",5,-4.11276,0,2,0,2,1,0,"1","2","2","0"
"67","abstained","actionLstm","Intrans","transf-mod",6,-1.79527,0,2,0,2,1,0,"1","2","2","0"
"68","abstained","actionLstm","Intrans","transf-mod",7,-0.861260000000001,0,2,0,2,1,0,"1","2","2","0"
"69","abstained","actionLstm","Intrans","transf-mod",8,-4.42921,0,2,0,2,1,0,"1","2","2","0"
"70","abstained","actionLstm","Intrans","transf-mod",9,-4.94128,0,2,0,2,1,0,"1","2","2","0"
"71","abstained","actionLstm","Intrans","transf-nomod",0,-2.25753,0,2,0,2,1,0,"1","2","2","0"
"72","abstained","actionLstm","Intrans","transf-nomod",1,3.36415,0,2,0,2,1,0,"1","2","2","0"
"73","abstained","actionLstm","Intrans","transf-nomod",2,-2.90675,0,2,0,2,1,0,"1","2","2","0"
"74","abstained","actionLstm","Intrans","transf-nomod",3,-4.11357,0,2,0,2,1,0,"1","2","2","0"
"75","abstained","actionLstm","Intrans","transf-nomod",4,-1.75992,0,2,0,2,1,0,"1","2","2","0"
"76","abstained","actionLstm","Intrans","transf-nomod",5,-2.11133,0,2,0,2,1,0,"1","2","2","0"
"77","abstained","actionLstm","Intrans","transf-nomod",6,-2.5871,0,2,0,2,1,0,"1","2","2","0"
"78","abstained","actionLstm","Intrans","transf-nomod",7,-1.39534,0,2,0,2,1,0,"1","2","2","0"
"79","abstained","actionLstm","Intrans","transf-nomod",8,-2.48105,0,2,0,2,1,0,"1","2","2","0"
"80","abstained","actionLstm","Intrans","transf-nomod",9,-0.491629999999994,0,2,0,2,1,0,"1","2","2","0"
"81","abstained","lstm","Intrans","transf-longmod",3,0.562531399999997,0,2,0,2,1,0,"1","2","2","0"
"82","abstained","lstm","Intrans","transf-longmod",4,-0.409095000000001,0,2,0,2,1,0,"1","2","2","0"
"83","abstained","lstm","Intrans","transf-longmod",5,-0.179847899999999,0,2,0,2,1,0,"1","2","2","0"
"84","abstained","lstm","Intrans","transf-longmod",6,0.746641999999994,0,2,0,2,1,0,"1","2","2","0"
"85","abstained","lstm","Intrans","transf-longmod",7,-0.354231799999997,0,2,0,2,1,0,"1","2","2","0"
"86","abstained","lstm","Intrans","transf-longmod",8,0.625246199999999,0,2,0,2,1,0,"1","2","2","0"
"87","abstained","lstm","Intrans","transf-longmod",9,-0.883875199999999,0,2,0,2,1,0,"1","2","2","0"
"88","abstained","lstm","Intrans","transf-mod",0,3.0834529,0,2,0,2,1,0,"1","2","2","0"
"89","abstained","lstm","Intrans","transf-mod",1,-0.818261829999997,0,2,0,2,1,0,"1","2","2","0"
"90","abstained","lstm","Intrans","transf-mod",2,-0.601955199999999,0,2,0,2,1,0,"1","2","2","0"
"91","abstained","lstm","Intrans","transf-longmod",0,-0.171288999999994,0,2,0,2,1,0,"1","2","2","0"
"92","abstained","lstm","Intrans","transf-longmod",1,-0.103874799999993,0,2,0,2,1,0,"1","2","2","0"
"93","abstained","lstm","Intrans","transf-longmod",2,-0.0568928,0,2,0,2,1,0,"1","2","2","0"
"94","abstained","lstm","Intrans","transf-mod",6,-3.3114576,0,2,0,2,1,0,"1","2","2","0"
"95","abstained","lstm","Intrans","transf-mod",7,-0.911058150000002,0,2,0,2,1,0,"1","2","2","0"
"96","abstained","lstm","Intrans","transf-mod",8,-2.57923366999999,0,2,0,2,1,0,"1","2","2","0"
"97","abstained","lstm","Intrans","transf-mod",9,-1.58098755,0,2,0,2,1,0,"1","2","2","0"
"98","abstained","lstm","Intrans","transf-nomod",0,-0.458490799999993,0,2,0,2,1,0,"1","2","2","0"
"99","abstained","lstm","Intrans","transf-nomod",1,-1.566506,0,2,0,2,1,0,"1","2","2","0"
"100","abstained","lstm","Intrans","transf-nomod",2,-4.3319263,0,2,0,2,1,0,"1","2","2","0"
"101","abstained","lstm","Intrans","transf-nomod",3,-7.1807512,0,2,0,2,1,0,"1","2","2","0"
"102","abstained","lstm","Intrans","transf-nomod",4,-0.704590999999994,0,2,0,2,1,0,"1","2","2","0"
"103","abstained","lstm","Intrans","transf-nomod",5,-4.30000343,0,2,0,2,1,0,"1","2","2","0"
"104","abstained","lstm","Intrans","transf-mod",3,-0.633596359999999,0,2,0,2,1,0,"1","2","2","0"
"105","abstained","lstm","Intrans","transf-mod",4,-1.2467337,0,2,0,2,1,0,"1","2","2","0"
"106","abstained","lstm","Intrans","transf-mod",5,-1.8242345,0,2,0,2,1,0,"1","2","2","0"
"107","abstained","lstm","Intrans","transf-nomod",9,0.256706439999995,0,2,0,2,1,0,"1","2","2","0"
"108","abstained","rnng","Intrans","transf-longmod",3,-1.13239,0,2,0,2,1,0,"1","2","2","0"
"109","abstained","rnng","Intrans","transf-longmod",4,-1.370314,0,2,0,2,1,0,"1","2","2","0"
"110","abstained","rnng","Intrans","transf-longmod",5,0.454430999999992,0,2,0,2,1,0,"1","2","2","0"
"111","abstained","rnng","Intrans","transf-longmod",6,-2.32521999999999,0,2,0,2,1,0,"1","2","2","0"
"112","abstained","rnng","Intrans","transf-longmod",7,-0.0260180000000005,0,2,0,2,1,0,"1","2","2","0"
"113","abstained","rnng","Intrans","transf-longmod",8,-2.75532,0,2,0,2,1,0,"1","2","2","0"
"114","abstained","rnng","Intrans","transf-longmod",9,-2.063139,0,2,0,2,1,0,"1","2","2","0"
"115","abstained","rnng","Intrans","transf-mod",0,-3.14394,0,2,0,2,1,0,"1","2","2","0"
"116","abstained","rnng","Intrans","transf-mod",1,0.672592999999996,0,2,0,2,1,0,"1","2","2","0"
"117","abstained","lstm","Intrans","transf-nomod",6,-1.37605930000001,0,2,0,2,1,0,"1","2","2","0"
"118","abstained","lstm","Intrans","transf-nomod",7,-5.100075,0,2,0,2,1,0,"1","2","2","0"
"119","abstained","lstm","Intrans","transf-nomod",8,-2.4086298,0,2,0,2,1,0,"1","2","2","0"
"120","abstained","rnng","Intrans","transf-longmod",2,1.29371,0,2,0,2,1,0,"1","2","2","0"
"121","abstained","rnng","Intrans","transf-mod",6,-0.178079999999998,0,2,0,2,1,0,"1","2","2","0"
"122","abstained","rnng","Intrans","transf-mod",7,2.706078,0,2,0,2,1,0,"1","2","2","0"
"123","abstained","rnng","Intrans","transf-mod",8,-3.17993,0,2,0,2,1,0,"1","2","2","0"
"124","abstained","rnng","Intrans","transf-mod",9,-1.920142,0,2,0,2,1,0,"1","2","2","0"
"125","abstained","rnng","Intrans","transf-nomod",0,-1.25201,0,2,0,2,1,0,"1","2","2","0"
"126","abstained","rnng","Intrans","transf-nomod",1,2.19032,0,2,0,2,1,0,"1","2","2","0"
"127","abstained","rnng","Intrans","transf-nomod",2,-0.963200000000001,0,2,0,2,1,0,"1","2","2","0"
"128","abstained","rnng","Intrans","transf-nomod",3,-3.12636,0,2,0,2,1,0,"1","2","2","0"
"129","abstained","rnng","Intrans","transf-nomod",4,-1.33179,0,2,0,2,1,0,"1","2","2","0"
"130","abstained","rnng","Intrans","transf-mod",2,-1.99084,0,2,0,2,1,0,"1","2","2","0"
"131","abstained","rnng","Intrans","transf-longmod",0,-3.33272,0,2,0,2,1,0,"1","2","2","0"
"132","abstained","rnng","Intrans","transf-longmod",1,1.358574,0,2,0,2,1,0,"1","2","2","0"
"133","abstained","rnng","Intrans","transf-mod",5,-4.05331,0,2,0,2,1,0,"1","2","2","0"
"134","abstained","rnng","Intrans","transf-nomod",9,-2.7718,0,2,0,2,1,0,"1","2","2","0"
"135","abstained","actionLstm","Intrans","transf-longmod",2,1.14338,0,2,0,2,1,0,"1","2","2","0"
"136","abstained","actionLstm","Intrans","transf-longmod",3,-0.951360000000005,0,2,0,2,1,0,"1","2","2","0"
"137","abstained","actionLstm","Intrans","transf-longmod",4,-0.228140000000003,0,2,0,2,1,0,"1","2","2","0"
"138","abstained","actionLstm","Intrans","transf-longmod",5,-0.0968300000000042,0,2,0,2,1,0,"1","2","2","0"
"139","abstained","actionLstm","Intrans","transf-longmod",6,-1.12766,0,2,0,2,1,0,"1","2","2","0"
"140","abstained","actionLstm","Intrans","transf-longmod",7,-0.0953300000000041,0,2,0,2,1,0,"1","2","2","0"
"141","abstained","actionLstm","Intrans","transf-longmod",8,0.333840000000002,0,2,0,2,1,0,"1","2","2","0"
