"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vbd_freq"
"56","abstained","lstm","Intrans","transf-mod",3,-0.633596359999999,0,2,0,2,1,0,"2"
"57","abstained","lstm","Intrans","transf-mod",4,-1.2467337,0,2,0,2,1,0,"2"
"58","abstained","lstm","Intrans","transf-mod",5,-1.8242345,0,2,0,2,1,0,"2"
"59","abstained","lstm","Intrans","transf-mod",6,-3.3114576,0,2,0,2,1,0,"2"
"60","abstained","lstm","Intrans","transf-mod",7,-0.911058150000002,0,2,0,2,1,0,"2"
"61","abstained","rnng","Intrans","transf-longmod",2,1.29371,0,2,0,2,1,0,"2"
"62","abstained","rnng","Intrans","transf-longmod",3,-1.13239,0,2,0,2,1,0,"2"
"63","abstained","rnng","Intrans","transf-longmod",4,-1.370314,0,2,0,2,1,0,"2"
"64","abstained","rnng","Intrans","transf-longmod",5,0.454430999999992,0,2,0,2,1,0,"2"
"65","abstained","rnng","Intrans","transf-longmod",6,-2.32521999999999,0,2,0,2,1,0,"2"
"66","abstained","rnng","Intrans","transf-longmod",7,-0.0260180000000005,0,2,0,2,1,0,"2"
"67","abstained","rnng","Intrans","transf-longmod",8,-2.75532,0,2,0,2,1,0,"2"
"68","abstained","rnng","Intrans","transf-longmod",9,-2.063139,0,2,0,2,1,0,"2"
"69","abstained","lstm","Intrans","transf-nomod",6,-1.37605930000001,0,2,0,2,1,0,"2"
"70","abstained","lstm","Intrans","transf-nomod",7,-5.100075,0,2,0,2,1,0,"2"
"71","abstained","rnng","Intrans","transf-nomod",6,-1.93816,0,2,0,2,1,0,"2"
"72","abstained","rnng","Intrans","transf-nomod",7,0.372039999999998,0,2,0,2,1,0,"2"
"73","abstained","rnng","Intrans","transf-longmod",1,1.358574,0,2,0,2,1,0,"2"
"74","abstained","rnng","Intrans","transf-mod",5,-4.05331,0,2,0,2,1,0,"2"
"75","abstained","rnng","Intrans","transf-mod",6,-0.178079999999998,0,2,0,2,1,0,"2"
"76","abstained","rnng","Intrans","transf-mod",7,2.706078,0,2,0,2,1,0,"2"
"77","abstained","rnng","Intrans","transf-mod",8,-3.17993,0,2,0,2,1,0,"2"
"78","abstained","rnng","Intrans","transf-mod",9,-1.920142,0,2,0,2,1,0,"2"
"79","abstained","rnng","Intrans","transf-nomod",0,-1.25201,0,2,0,2,1,0,"2"
"80","abstained","rnng","Intrans","transf-nomod",1,2.19032,0,2,0,2,1,0,"2"
"81","abstained","rnng","Intrans","transf-nomod",2,-0.963200000000001,0,2,0,2,1,0,"2"
"82","abstained","rnng","Intrans","transf-mod",0,-3.14394,0,2,0,2,1,0,"2"
"83","abstained","rnng","Intrans","transf-mod",1,0.672592999999996,0,2,0,2,1,0,"2"
"84","abstained","rnng","Intrans","transf-mod",2,-1.99084,0,2,0,2,1,0,"2"
"85","abstained","rnng","Intrans","transf-longmod",0,-3.33272,0,2,0,2,1,0,"2"
"86","abstained","rnng","Intrans","transf-mod",4,-3.872348,0,2,0,2,1,0,"2"
"87","abstained","rnng","Intrans","transf-nomod",3,-3.12636,0,2,0,2,1,0,"2"
"88","abstained","rnng","Intrans","transf-nomod",4,-1.33179,0,2,0,2,1,0,"2"
"89","abstained","rnng","Intrans","transf-nomod",5,-2.08829,0,2,0,2,1,0,"2"
"90","abstained","rnng","Intrans","transf-mod",3,-2.74248,0,2,0,2,1,0,"2"
"91","alerted","actionLstm","Trans","transf-longmod",4,-0.094530000000006,0,2,0,2,1,0,"2"
"92","alerted","actionLstm","Trans","transf-longmod",5,3.58812,0,2,0,2,1,0,"2"
"93","alerted","actionLstm","Trans","transf-longmod",6,6.88516,0,2,0,2,1,0,"2"
"94","alerted","actionLstm","Trans","transf-longmod",7,-0.0916999999999959,0,2,0,2,1,0,"2"
"95","alerted","actionLstm","Trans","transf-longmod",8,0.113599999999998,0,2,0,2,1,0,"2"
"96","alerted","actionLstm","Trans","transf-longmod",9,3.5871,0,2,0,2,1,0,"2"
"97","alerted","actionLstm","Trans","transf-mod",0,2.78614,0,2,0,2,1,0,"2"
"98","alerted","actionLstm","Trans","transf-mod",1,1.79209,0,2,0,2,1,0,"2"
"99","alerted","actionLstm","Trans","transf-longmod",2,1.07093,0,2,0,2,1,0,"2"
"100","alerted","actionLstm","Trans","transf-longmod",3,-3.1048,0,2,0,2,1,0,"2"
"101","alerted","lstm","Trans","transf-longmod",2,-0.00686009999999726,0,2,0,2,1,0,"2"
"102","alerted","lstm","Trans","transf-longmod",3,0.989308600000008,0,2,0,2,1,0,"2"
"103","alerted","lstm","Trans","transf-longmod",4,1.8916282,0,2,0,2,1,0,"2"
"104","alerted","lstm","Trans","transf-longmod",5,1.4456287,0,2,0,2,1,0,"2"
"105","alerted","lstm","Trans","transf-longmod",6,-0.210777699999994,0,2,0,2,1,0,"2"
"106","alerted","lstm","Trans","transf-longmod",7,0.524107299999997,0,2,0,2,1,0,"2"
"107","alerted","lstm","Trans","transf-longmod",8,1.52253750000001,0,2,0,2,1,0,"2"
"108","alerted","lstm","Trans","transf-longmod",9,1.3345681,0,2,0,2,1,0,"2"
"109","alerted","lstm","Trans","transf-mod",0,2.42589570000001,0,2,0,2,1,0,"2"
"110","alerted","lstm","Trans","transf-mod",1,3.2104658,0,2,0,2,1,0,"2"
"111","alerted","actionLstm","Trans","transf-longmod",0,2.20147,0,2,0,2,1,0,"2"
"112","alerted","actionLstm","Trans","transf-longmod",1,2.42407,0,2,0,2,1,0,"2"
"113","alerted","lstm","Trans","transf-longmod",0,-0.638532599999998,0,2,0,2,1,0,"2"
"114","alerted","lstm","Trans","transf-longmod",1,1.5534568,0,2,0,2,1,0,"2"
"115","alerted","rnng","Trans","transf-longmod",0,5.54349000000001,0,2,0,2,1,0,"2"
"116","alerted","rnng","Trans","transf-longmod",1,8.326855,0,2,0,2,1,0,"2"
"117","alerted","rnng","Trans","transf-longmod",2,5.51373,0,2,0,2,1,0,"2"
"118","alerted","rnng","Trans","transf-longmod",3,2.38066999999999,0,2,0,2,1,0,"2"
"119","alerted","rnng","Trans","transf-longmod",4,1.077979,0,2,0,2,1,0,"2"
"120","alerted","rnng","Trans","transf-longmod",5,7.41661,0,2,0,2,1,0,"2"
